,X,Y
0,3,110300.0
1,2,107800.0
2,1,74000.0
3,0,57700.0
4,1,59800.0
5,1,43500.0
6,0,70200.0
7,1,5900.0
8,1,11400.0
9,1,36700.0
10,0,43700.0
11,3,70700.0
12,2,63500.0
13,0,72900.0
14,1,18400.0
15,3,142900.0
16,2,13500.0
17,1,91400.0
18,1,87800.0
19,0,44900.0
20,1,18600.0
21,1,99100.0
22,1,
23,3,31500.0
24,1,77500.0
25,2,17300.0
26,2,17500.0
27,1,45700.0
28,2,146300.0
29,2,28700.0
30,2,122100.0
31,2,90700.0
32,2,19400.0
33,0,85400.0
34,0,35500.0
35,1,109100.0
36,1,3600.0
37,1,13100.0
38,2,21400.0
39,4,63600.0
40,1,152400.0
41,2,29900.0
42,1,10300.0
43,0,64500.0
44,2,61700.0
45,4,57800.0
46,2,28000.0
47,5,33000.0
48,1,26700.0
49,2,64100.0
50,0,67600.0
51,2,78500.0
52,1,86900.0
53,0,18900.0
54,1,36200.0
55,3,15000.0
56,1,13200.0
57,0,108000.0
58,3,14600.0
59,2,122400.0
60,2,57700.0
61,1,145300.0
62,0,0.0
63,1,5300.0
64,1,15800.0
65,1,47200.0
66,1,88000.0
67,1,9800.0
68,1,23200.0
69,2,29400.0
70,2,0.0
71,3,55100.0
72,1,1600.0
73,1,29800.0
74,1,41400.0
75,0,76200.0
76,1,29300.0
77,2,53700.0
78,1,29700.0
79,1,115600.0
80,0,13600.0
81,3,113100.0
82,3,34200.0
83,1,23000.0
84,1,33300.0
85,0,113500.0
86,1,24600.0
87,1,9700.0
88,2,76900.0
89,2,68600.0
90,2,53900.0
91,1,52200.0
92,0,101100.0
93,1,5000.0
94,2,25700.0
95,1,88800.0
96,1,37900.0
97,3,24600.0
98,2,86000.0
99,2,102800.0
100,1,55000.0
101,1,23100.0
102,1,34200.0
103,1,96300.0
104,3,23500.0
105,1,45300.0
106,3,54800.0
107,1,53000.0
108,1,8800.0
109,2,11100.0
110,3,69300.0
111,3,72600.0
112,2,21600.0
113,1,5300.0
114,3,13700.0
115,0,41400.0
116,1,25300.0
117,1,68200.0
118,1,59200.0
119,1,112700.0
120,2,24500.0
121,0,74800.0
122,1,24000.0
123,2,68700.0
124,3,38100.0
125,1,37500.0
126,1,134700.0
127,1,58600.0
128,3,52500.0
129,1,47400.0
130,3,
131,2,5600.0
132,2,58800.0
133,1,21700.0
134,3,38500.0
135,5,53600.0
136,2,63100.0
137,1,103800.0
138,2,20100.0
139,0,61400.0
140,0,4500.0
141,2,64900.0
142,3,35000.0
143,3,22200.0
144,1,60200.0
145,0,21300.0
146,1,31100.0
147,0,27700.0
148,2,43500.0
149,1,15300.0
150,1,8600.0
151,2,97600.0
152,2,11800.0
153,3,56800.0
154,1,35500.0
155,2,24700.0
156,0,106900.0
157,2,32500.0
158,2,78300.0
159,2,25000.0
160,0,35000.0
161,3,49600.0
162,1,41800.0
163,2,52500.0
164,1,47200.0
165,2,27100.0
166,2,43800.0
167,2,40700.0
168,2,55300.0
169,3,68300.0
170,0,72200.0
171,1,20700.0
172,0,33100.0
173,1,169400.0
174,3,88900.0
175,1,22500.0
176,1,140100.0
177,3,33400.0
178,2,14500.0
179,0,13600.0
180,1,86900.0
181,2,72600.0
182,0,87600.0
183,2,47300.0
184,0,52500.0
185,1,39900.0
186,1,31400.0
187,1,72100.0
188,1,51300.0
189,2,10600.0
190,0,98400.0
191,2,38600.0
192,2,35900.0
193,2,40900.0
194,3,48800.0
195,2,24100.0
196,1,19600.0
197,3,43900.0
198,4,12500.0
199,1,14700.0
200,1,29900.0
201,2,48100.0
202,1,20000.0
203,0,54900.0
204,1,5200.0
205,1,136900.0
206,0,52200.0
207,1,25400.0
208,4,124100.0
209,1,24100.0
210,0,3100.0
211,2,55900.0
212,2,59300.0
213,1,76500.0
214,1,15500.0
215,2,95700.0
216,1,71300.0
217,1,59300.0
218,3,48500.0
219,0,91700.0
220,2,67700.0
221,0,51300.0
222,1,10900.0
223,1,83500.0
224,1,7400.0
225,2,116800.0
226,1,115800.0
227,2,29200.0
228,1,61300.0
229,2,24700.0
